"sku","europska_stevilka_artikla"
"48100502099","8719322220172"
"48100520099","8719322220165"
"48100512299","8719322220141"
"48100503399","8719322220134"
"48100523599","8719322220127"
"48100503999","8719322220110"
"48100513099","8719322220103"
"481005e1299","8719322220097"
"48100544099","8719322220080"
"48100514599","8719322220073"
"48100545099","8719322220066"
"48100535099","8719322220059"
"48100503799","8719322220042"
"48100500399","8719322220035"
"48100500499","8719322220028"
"48100500299","8719322220011"
"48100500199","8719322220004"
"33023401799","8028661421554"
"33010405299","8028661421523"
"33010755099","8028661421509"
"33010700199","8028661421493"
"33010954099","8028661421486"
"33010900499","8028661421479"
"33010354099","8028661421462"
"33010300499","8028661421455"
"33012096399","8028661421448"
"330120a8099","8028661421431"
"33012081099","8028661421417"
"330102a8099","8028661421400"
"33010296399","8028661421394"
"33010281099","8028661421387"
"33010298099","8028661421370"
"33023498199","8028661421349"
"330234q6299","8028661421301"
"33022705299","8028661421295"
"33022700399","8028661421288"
"33022700299","8028661421271"
"33022605299","8028661421264"
"33022600399","8028661421257"
"33022600299","8028661421240"
"330234y2299","8028661421233"
"33023431399","8028661421202"
"330234g6199","8028661421196"
"330234y2399","8028661421189"
"33023105099","8028661421172"
"33023100499","8028661421165"
"33023100399","8028661421158"
"33023100299","8028661421141"
"33023167099","8028661421134"
"33023100199","8028661421127"
"33022755099","8028661421110"
"33022767099","8028661421103"
"33022737099","8028661421097"
"33022614599","8028661421080"
"33022607699","8028661421073"
"33022800399","8028661421066"
"33022800299","8028661421059"
"33022801899","8028661421042"
"33022807699","8028661421035"
"33022500499","8028661421028"
"33022500399","8028661421011"
"33022500299","8028661421004"
"33022567099","8028661420991"
"33023236199","8028661420984"
"33023280899","8028661420977"
"33023226199","8028661420960"
"33023285199","8028661420953"
"33023282699","8028661420946"
"33023054099","8028661420939"
"33023005099","8028661420922"
"33023000499","8028661420915"
"33023000399","8028661420908"
"33023000299","8028661420892"
"33023067099","8028661420885"
"33023007699","8028661420878"
"33023037099","8028661420861"
"33023000199","8028661420854"
"33023655099","8028661420816"
"33023655599","8028661420809"
"33023355099","8028661420793"
"33023355599","8028661420786"
"33022900399","8028661420762"
"33022900299","8028661420755"
"33022900199","8028661420748"
"33023705099","8028661420731"
"33023704899","8028661420724"
"33023700499","8028661420717"
"33023700399","8028661420700"
"33023700299","8028661420694"
"33023720099","8028661420687"
"33023700199","8028661420670"
"33023703799","8028661420663"
"33022400399","8028661420656"
"33022400299","8028661420649"
"33022467099","8028661420632"
"33022300299","8028661420625"
"330223p6299","8028661420618"
"330223z1799","8028661420601"
"33022255099","8028661420595"
"33022200399","8028661420588"
"33022200299","8028661420571"
"33022207199","8028661420564"
"33022259099","8028661420557"
"33022105099","8028661420540"
"33022100499","8028661420533"
"33022155099","8028661420526"
"33022100399","8028661420519"
"33022100299","8028661420502"
"33022167099","8028661420496"
"33023505099","8028661420489"
"33023504899","8028661420472"
"33023500499","8028661420465"
"33023500399","8028661420458"
"33023500299","8028661420441"
"33023503799","8028661420434"
"33022054099","8028661420427"
"33022005099","8028661420410"
"33022004899","8028661420403"
"33022000499","8028661420397"
"33022055099","8028661420380"
"33022000399","8028661420373"
"33022000299","8028661420366"
"33022008599","8028661420359"
"33022067099","8028661420342"
"330220p6299","8028661420335"
"33022031099","8028661420328"
"33022037099","8028661420311"
"33022000199","8028661420304"
"33022012599","8028661420298"
"33022003799","8028661420281"
"330220z1799","8028661420274"
"33010700499","8028661416017"
"330118zk399","8028661414266"
"33011607699","8028661413191"
"330113j6299","8028661412705"
"33011603399","8028661412477"
"33011605099","8028661412446"
"33011600499","8028661412439"
"33011600399","8028661412415"
"33011600299","8028661412392"
"33011620099","8028661412378"
"33011600199","8028661412354"
"33011603799","8028661412347"
"33011555099","8028661412316"
"33011500399","8028661412309"
"33011500299","8028661412293"
"33011555599","8028661412286"
"33011567099","8028661412279"
"33011500199","8028661412262"
"33011705099","8028661412255"
"33011700499","8028661412248"
"33011700399","8028661412231"
"33011700299","8028661412224"
"33011700199","8028661412217"
"33010805099","8028661412200"
"33010855099","8028661412194"
"33010800399","8028661412187"
"33010800299","8028661412170"
"33010867099","8028661412163"
"33010800199","8028661412156"
"33011805099","8028661411968"
"33011800399","8028661411951"
"33011800299","8028661411944"
"33011867099","8028661411937"
"33011903999","8028661411807"
"33011005099","8028661411791"
"33011004899","8028661411784"
"33011000499","8028661411777"
"33011000399","8028661411760"
"33011000299","8028661411753"
"33011055599","8028661411746"
"330110zc399","8028661411739"
"33010404899","8028661411722"
"33010422999","8028661411715"
"33010400499","8028661411708"
"33010455099","8028661411692"
"33010400399","8028661411685"
"33010400299","8028661411678"
"33010455599","8028661411661"
"33010467099","8028661411654"
"330104zc399","8028661411647"
"33010400199","8028661411630"
"330111j6299","8028661411494"
"33011105099","8028661411487"
"33011104899","8028661411470"
"33011100499","8028661411463"
"33011100399","8028661411456"
"33011100299","8028661411449"
"330111zc499","8028661411432"
"330119j6299","8028661411425"
"33011905099","8028661411418"
"33011955099","8028661411401"
"33011900399","8028661411395"
"33011900299","8028661411388"
"33011908599","8028661411371"
"33011937099","8028661411357"
"33011923599","8028661411340"
"33011300399","8028661411302"
"33011300299","8028661411296"
"33011308599","8028661411289"
"33011303999","8028661411265"
"33011337099","8028661411258"
"330113zc499","8028661411234"
"33010767099","8028661410619"
"33010705099","8028661410602"
"33010700399","8028661410596"
"33010700299","8028661410589"
"33010105099","8028661410565"
"33010100399","8028661410558"
"33010100299","8028661410541"
"33010167099","8028661410534"
"33016667099","8028661410510"
"33010305099","8028661410503"
"33010355099","8028661410497"
"33010300399","8028661410480"
"33010300299","8028661410473"
"33010355599","8028661410466"
"33010367099","8028661410459"
"33010300199","8028661410442"
"33010905099","8028661410435"
"33010955099","8028661410428"
"33010900399","8028661410411"
"33010900299","8028661410404"
"33010955599","8028661410398"
"33010967099","8028661410381"
"33010900199","8028661410374"
"33010288399","8028661410367"
"33010263499","8028661410350"
"33010285799","8028661410343"
"33010280899","8028661410336"
"33010271299","8028661410329"
"33010226199","8028661410312"
"33010290299","8028661410305"
"33012088399","8028661410282"
"33012063499","8028661410275"
"33012085799","8028661410268"
"33012080899","8028661410251"
"33012071299","8028661410244"
"33012026199","8028661410237"
"33012098099","8028661410237"
"33012090299","8028661410220"
