"sku","tip_velikosti"
"33011412599","all"
"33011403799","all"
"33011205099","all"
"33011255099","all"
"33011200399","all"
"33011200299","all"
"33011208599","all"
"33011207199","all"
"33011259099","all"
"33011212599","all"
"33010654099","all"
"330106zc299","all"
"33010605099","all"
"33010645599","all"
"33010655099","all"
"33010600399","all"
"33010600299","all"
"33010608599","all"
"33010607199","all"
"33010659099","all"
"33010612599","all"
"33010603799","all"
"33010055099","all"
"33010000399","all"
"33010000299","all"
"33010008599","all"
"33010037099","all"
"33010623599","all"
"33708012599","all"
"337090zc299","all"
"33709012599","all"
"33709003799","all"
"330112o0299","all"
"330106o0299","all"
"330114o0299","all"
"33800045599","all"
"33800007199","all"
"330114zc299","all"
"330100zc299","all"
"33010067099","all"
"33010059099","all"
"33010012599","all"
"33010003799","all"
"33013667099","all"
"33013605099","all"
"33013600399","all"
"33013600299","all"
"33013600199","all"
"330210zg599","all"
"330210zg699","all"
"332070t0999","all"
"332070z1799","all"
"330210zg899","all"
"33021063499","all"
"330210zg499","all"
"330210z7699","all"
"33021005099","all"
"33021000399","all"
"33021000299","all"
"330210z6999","all"
"33021000199","all"
"33013855099","all"
"332070t2299","all"
"330210zg799","all"
"33016655099","all"
"33016600399","all"
"33016600299","all"
"33016655599","all"
"33016600199","all"
"33020067099","all"
"33020005099","all"
"33020000399","all"
"33020000299","all"
"33020000199","all"
"33015605099","all"
"33015600399","all"
"33015600299","all"
"33015603999","all"
"330156p6299","all"
"33015600199","all"
"33801055099","all"
"33801000399","all"
"33801000299","all"
"33801067099","all"
"33800005099","all"
"338000o0299","all"
"33800055099","all"
"33800000399","all"
"33800000299","all"
"33800008599","all"
"33800059099","all"
"33709055099","all"
"33708045599","all"
"33708055099","all"
"33708054099","all"
"33708000399","all"
"33708000299","all"
"33708008599","all"
"33708067099","all"
"33708059099","all"
"33708037099","all"
"33709059099","all"
"33709037099","all"
"33709054099","all"
"33709000399","all"
"33709000299","all"
"33709008599","all"
"33709007199","all"
"336080t0999","all"
"337040o0299","all"
"336060y7499","all"
"33700000499","all"
"33700020099","all"
"33601085799","all"
"336010y0699","all"
"33601078099","all"
"330007o5399","all"
"330007o0299","all"
"336060q6299","all"
"336060y2499","all"
"33606095799","all"
"336060y2199","all"
"336060u2999","all"
"336060y2299","all"
"33606067899","all"
"336060y2099","all"
"33606098199","all"
"336060y1499","all"
"33606031399","all"
"336060y1899","all"
"336060y2399","all"
"33606087199","all"
"33707007499","all"
"33707000399","all"
"33707000299","all"
"33707020099","all"
"33607005099","all"
"33608005099","all"
"330007d2199","all"
"33000725599","all"
"33000703199","all"
"33000704299","all"
"33705045599","all"
"337050w3999","all"
"337010m8699","all"
"337010o0199","all"
"337010l2299","all"
"33701007199","all"
"33701007799","all"
"337010y2599","all"
"33700003399","all"
"33700005099","all"
"33700000399","all"
"33700000299","all"
"33700067099","all"
"33700003999","all"
"33700000199","all"
"33604005099","all"
"336040p6299","all"
"336040t2299","all"
"33604005299","all"
