"sku","teza"
"33302054099",0.07
"33018054099",0.07
"33018005099",0.07
"330504g5199",0.08
"33050495799",0.08
"33050489699",0.08
"33003567099",0.08
"33208007799",0.11
"33006405099",0.1
"33006407699",0.1
"33006437099",0.1
"330005g5199",0.09
"33000534399",0.09
"33000589699",0.09
"338020z7399",0.09
"33400059099",0.1
"33204054099",0.09
"33204005099",0.09
"33204067099",0.09
"33204007699",0.09
"33204037099",0.09
"334000o5399",0.1
"334000o0299",0.1
"33207078099",0.1
"332070y0299",0.1
"332070y0199",0.1
"33403000499",0.08
"33803055599",0.11
"33803067099",0.11
"33803007699",0.11
"338030w3999",0.11
"33000709299",0.07
"33000744099",0.07
"33000758099",0.07
"330007v7899",0.07
"330007w3999",0.07
"33017347099",0.1
"33017380099",0.1
"33409000499",0.07
"33409008599",0.07
"338020g5199",0.09
"338020p3499",0.09
"33802066899",0.09
"338020z7699",0.09
"338020z7599",0.09
"33802026199",0.09
"338020z7499",0.09
"33013555599",0.09
"33013371299",0.1
"33013336199",0.1
"33013388399",0.1
"33013385199",0.1
"33013382699",0.1
"33706009299",0.1
"33706003399",0.1
"33706005099",0.1
"33706004099",0.1
"33706004899",0.1
"33706000499",0.1
"33706055099",0.1
"33706000399",0.1
"33706000299",0.1
"33706055599",0.1
"33706067099",0.1
"33706003999",0.1
"33706037099",0.1
"33706000199",0.1
"337070o5399",0.08
"33707016999",0.08
"33707007799",0.08
